item_id,description
N202847,Supplier sheet: Northfield hand soap 500 g pack of 1. Store at ambient. Shelf life 172 days. Allergens: none.
N201236,Supplier sheet: Harvest orange juice 500 g pack of 6. Store at ambient. Shelf life 4 days. Allergens: none.
N200379,Supplier sheet: Valley mixed berries 330 ml pack of 1. Store at -18C. Shelf life 140 days. Allergens: gluten;fish.
N200031,Supplier sheet: Northfield hand soap 6 pk pack of 1. Store at ambient. Shelf life 164 days. Allergens: none.
N200049,Supplier sheet: Orchard seeded bagel 1 L pack of 12. Store at ambient. Shelf life 89 days. Allergens: gluten;egg.
N201278,Supplier sheet: Northfield dish soap 6 pk pack of 4. Store at ambient. Shelf life 126 days. Allergens: none.
N202765,Supplier sheet: Bluebell trail mix 250 ml pack of 1. Store at ambient. Shelf life 81 days. Allergens: nuts;milk.
N202457,Supplier sheet: Valley seeded bagel 330 ml pack of 6. Store at ambient. Shelf life 108 days. Allergens: gluten;egg.
N202379,Supplier sheet: Bluebell garden peas 330 ml pack of 6. Store at -18C. Shelf life 163 days. Allergens: gluten;fish.
N200922,Supplier sheet: Valley gala apple 1 L pack of 6. Store at chilled. Shelf life 96 days. Allergens: none.
N202819,Supplier sheet: Northfield fish fingers 750 g pack of 2. Store at -18C. Shelf life 105 days. Allergens: gluten;fish.
N202036,Supplier sheet: Meadow sparkling water 750 g pack of 4. Store at ambient. Shelf life 177 days. Allergens: none.
N200828,Supplier sheet: Meadow oat drink 330 ml pack of 4. Store at ambient. Shelf life 90 days. Allergens: none.
N200065,Supplier sheet: Orchard sourdough loaf 2 L pack of 12. Store at ambient. Shelf life 33 days. Allergens: gluten;egg.
N200175,Supplier sheet: Meadow shampoo daily 6 pk pack of 1. Store at ambient. Shelf life 123 days. Allergens: none.
N202625,Supplier sheet: Orchard wholemeal bread 750 g pack of 4. Store at ambient. Shelf life 125 days. Allergens: gluten;egg.
N202417,Supplier sheet: Orchard sourdough loaf 6 pk pack of 4. Store at ambient. Shelf life 44 days. Allergens: gluten;egg.
N201617,Supplier sheet: Bluebell blueberry muffin 250 ml pack of 4. Store at ambient. Shelf life 131 days. Allergens: gluten;egg. Rep contact rep22@example-supplier.test
N202572,Supplier sheet: Northfield cold brew 250 ml pack of 1. Store at ambient. Shelf life 14 days. Allergens: none.
N200186,Supplier sheet: Bluebell avocado ripe 330 ml pack of 6. Store at chilled. Shelf life 59 days. Allergens: none.
N202982,Supplier sheet: Harvest glass cleaner 330 ml pack of 12. Store at ambient. Shelf life 154 days. Allergens: none.
N201304,Supplier sheet: Northfield whole milk 330 ml pack of 6. Store at chilled. Shelf life 112 days. Allergens: milk.
N201222,Supplier sheet: Meadow glass cleaner 6 pk pack of 2. Store at ambient. Shelf life 110 days. Allergens: none.
N202374,Supplier sheet: Northfield glass cleaner 750 g pack of 12. Store at ambient. Shelf life 112 days. Allergens: none.
N202484,Supplier sheet: Northfield oat drink 330 ml pack of 4. Store at ambient. Shelf life 32 days. Allergens: none.
N201925,Supplier sheet: Orchard dark chocolate 750 g pack of 2. Store at ambient. Shelf life 173 days. Allergens: nuts;milk.
N201442,Supplier sheet: Bluebell avocado ripe 6 pk pack of 1. Store at chilled. Shelf life 55 days. Allergens: none.
N201671,Supplier sheet: Northfield razor blades 750 g pack of 6. Store at ambient. Shelf life 142 days. Allergens: none.
N200354,Supplier sheet: Northfield gala apple 2 L pack of 12. Store at chilled. Shelf life 178 days. Allergens: none.
N202340,Supplier sheet: Harvest oat drink 6 pk pack of 12. Store at ambient. Shelf life 45 days. Allergens: none.
N200172,Supplier sheet: Orchard cola zero 330 ml pack of 6. Store at ambient. Shelf life 115 days. Allergens: none.
N200268,Supplier sheet: Harvest cola zero 2 L pack of 1. Store at ambient. Shelf life 10 days. Allergens: none.
N200289,Supplier sheet: Orchard sourdough loaf 250 ml pack of 6. Store at ambient. Shelf life 115 days. Allergens: gluten;egg.
N201209,Supplier sheet: Northfield butter croissant 2 L pack of 2. Store at ambient. Shelf life 81 days. Allergens: gluten;egg.
N201887,Supplier sheet: Bluebell shampoo daily 500 g pack of 6. Store at ambient. Shelf life 15 days. Allergens: none.
N201639,Supplier sheet: Orchard razor blades 2 L pack of 1. Store at ambient. Shelf life 121 days. Allergens: none.
N201560,Supplier sheet: Orchard salted butter 2 L pack of 1. Store at chilled. Shelf life 174 days. Allergens: milk.
N201806,Supplier sheet: Harvest paper towel 2 L pack of 12. Store at ambient. Shelf life 17 days. Allergens: none.
N200722,Supplier sheet: Northfield avocado ripe 6 pk pack of 12. Store at chilled. Shelf life 161 days. Allergens: none.
N200953,Supplier sheet: Valley wholemeal bread 330 ml pack of 4. Store at ambient. Shelf life 152 days. Allergens: gluten;egg.
N200221,Supplier sheet: Meadow trail mix 500 g pack of 2. Store at ambient. Shelf life 99 days. Allergens: nuts;milk.
N201279,Supplier sheet: Orchard razor blades 1 kg pack of 6. Store at ambient. Shelf life 162 days. Allergens: none.
N201690,Supplier sheet: Orchard baby spinach 2 L pack of 6. Store at chilled. Shelf life 57 days. Allergens: none.
N202937,Supplier sheet: Meadow blueberry muffin 2 L pack of 2. Store at ambient. Shelf life 130 days. Allergens: gluten;egg.
N202667,Supplier sheet: Orchard garden peas 750 g pack of 4. Store at -18C. Shelf life 126 days. Allergens: gluten;fish.
N200072,Supplier sheet: Harvest cheddar cheese 330 ml pack of 2. Store at chilled. Shelf life 105 days. Allergens: milk.
N202127,Supplier sheet: Northfield body lotion 2 L pack of 6. Store at ambient. Shelf life 150 days. Allergens: none.
N200449,Supplier sheet: Orchard blueberry muffin 330 ml pack of 6. Store at ambient. Shelf life 158 days. Allergens: gluten;egg. Rep contact rep28@example-supplier.test
N200067,Supplier sheet: Meadow vanilla icecream 750 g pack of 4. Store at -18C. Shelf life 142 days. Allergens: gluten;fish.
N200213,Supplier sheet: Valley salted crisps 1 L pack of 4. Store at ambient. Shelf life 107 days. Allergens: nuts;milk.
N200115,Supplier sheet: Bluebell margherita pizza 500 g pack of 2. Store at -18C. Shelf life 175 days. Allergens: gluten;fish.
N202530,Supplier sheet: Orchard gala apple 1 L pack of 12. Store at chilled. Shelf life 101 days. Allergens: none.
N200590,Supplier sheet: Northfield glass cleaner 2 L pack of 4. Store at ambient. Shelf life 115 days. Allergens: none.
N202293,Supplier sheet: Valley rice cakes 250 ml pack of 12. Store at ambient. Shelf life 36 days. Allergens: nuts;milk.
N201286,Supplier sheet: Bluebell laundry pods 750 g pack of 6. Store at ambient. Shelf life 59 days. Allergens: none.
N200398,Supplier sheet: Harvest dish soap 500 g pack of 12. Store at ambient. Shelf life 163 days. Allergens: none.
N201396,Supplier sheet: Bluebell orange juice 500 g pack of 6. Store at ambient. Shelf life 91 days. Allergens: none.
N200111,Supplier sheet: Northfield toothpaste mint 750 g pack of 12. Store at ambient. Shelf life 93 days. Allergens: none.
N201413,Supplier sheet: Bluebell salted crisps 330 ml pack of 4. Store at ambient. Shelf life 147 days. Allergens: nuts;milk.
N201392,Supplier sheet: Orchard salted butter 1 kg pack of 4. Store at chilled. Shelf life 60 days. Allergens: milk.
N202191,Supplier sheet: Orchard body lotion 330 ml pack of 4. Store at ambient. Shelf life 49 days. Allergens: none.
N201120,Supplier sheet: Valley greek yogurt 750 g pack of 12. Store at chilled. Shelf life 4 days. Allergens: milk.
N202869,Supplier sheet: Valley dark chocolate 330 ml pack of 2. Store at ambient. Shelf life 43 days. Allergens: nuts;milk.
N202299,Supplier sheet: Bluebell fish fingers 6 pk pack of 2. Store at -18C. Shelf life 93 days. Allergens: gluten;fish.
N200323,Supplier sheet: Meadow garden peas 330 ml pack of 1. Store at -18C. Shelf life 131 days. Allergens: gluten;fish.
N201319,Supplier sheet: Northfield hand soap 330 ml pack of 4. Store at ambient. Shelf life 61 days. Allergens: none.
N200719,Supplier sheet: Northfield shampoo daily 1 kg pack of 12. Store at ambient. Shelf life 81 days. Allergens: none.
N200040,Supplier sheet: Harvest cheddar cheese 2 L pack of 4. Store at chilled. Shelf life 42 days. Allergens: milk.
N202350,Supplier sheet: Valley dish soap 750 g pack of 6. Store at ambient. Shelf life 147 days. Allergens: none.
N200052,Supplier sheet: Northfield cold brew 250 ml pack of 2. Store at ambient. Shelf life 95 days. Allergens: none.
N200420,Supplier sheet: Bluebell cola zero 750 g pack of 1. Store at ambient. Shelf life 28 days. Allergens: none.
N202800,Supplier sheet: Harvest whole milk 330 ml pack of 6. Store at chilled. Shelf life 110 days. Allergens: milk.
N201905,Supplier sheet: Valley sourdough loaf 1 kg pack of 12. Store at ambient. Shelf life 62 days. Allergens: gluten;egg.
N202754,Supplier sheet: Bluebell banana bunch 750 g pack of 6. Store at chilled. Shelf life 156 days. Allergens: none.
N201904,Supplier sheet: Meadow greek yogurt 2 L pack of 6. Store at chilled. Shelf life 50 days. Allergens: milk.
N201768,Supplier sheet: Bluebell salted butter 750 g pack of 6. Store at chilled. Shelf life 156 days. Allergens: milk.
N202554,Supplier sheet: Harvest avocado ripe 2 L pack of 1. Store at chilled. Shelf life 126 days. Allergens: none.
N200203,Supplier sheet: Meadow margherita pizza 2 L pack of 2. Store at -18C. Shelf life 26 days. Allergens: gluten;fish.
N202842,Supplier sheet: Orchard banana bunch 500 g pack of 6. Store at chilled. Shelf life 137 days. Allergens: none.
N202425,Supplier sheet: Northfield wholemeal bread 750 g pack of 1. Store at ambient. Shelf life 130 days. Allergens: gluten;egg.
N202061,Supplier sheet: Orchard trail mix 750 g pack of 12. Store at ambient. Shelf life 83 days. Allergens: nuts;milk.
N200099,Supplier sheet: Meadow garden peas 1 L pack of 6. Store at -18C. Shelf life 31 days. Allergens: gluten;fish.
N202762,Supplier sheet: Meadow avocado ripe 250 ml pack of 12. Store at chilled. Shelf life 87 days. Allergens: none.
N200836,Supplier sheet: Harvest oat drink 250 ml pack of 4. Store at ambient. Shelf life 110 days. Allergens: none.
N202027,Supplier sheet: Bluebell garden peas 1 L pack of 6. Store at -18C. Shelf life 26 days. Allergens: gluten;fish.
N201923,Supplier sheet: Bluebell margherita pizza 330 ml pack of 6. Store at -18C. Shelf life 63 days. Allergens: gluten;fish.
N202875,Supplier sheet: Bluebell margherita pizza 500 g pack of 2. Store at -18C. Shelf life 127 days. Allergens: gluten;fish.
N202597,Supplier sheet: Valley tortilla chips 2 L pack of 1. Store at ambient. Shelf life 100 days. Allergens: nuts;milk.
N201370,Supplier sheet: Harvest gala apple 6 pk pack of 1. Store at chilled. Shelf life 178 days. Allergens: none.
N202786,Supplier sheet: Meadow avocado ripe 250 ml pack of 2. Store at chilled. Shelf life 41 days. Allergens: none.
N202912,Supplier sheet: Orchard greek yogurt 1 kg pack of 4. Store at chilled. Shelf life 140 days. Allergens: milk.
N201506,Supplier sheet: Orchard avocado ripe 330 ml pack of 12. Store at chilled. Shelf life 78 days. Allergens: none.
N200614,Supplier sheet: Northfield dish soap 1 L pack of 6. Store at ambient. Shelf life 42 days. Allergens: none.
N200493,Supplier sheet: Northfield trail mix 1 L pack of 12. Store at ambient. Shelf life 171 days. Allergens: nuts;milk.
N200809,Supplier sheet: Valley butter croissant 250 ml pack of 2. Store at ambient. Shelf life 113 days. Allergens: gluten;egg.
N200618,Supplier sheet: Meadow baby spinach 500 g pack of 12. Store at chilled. Shelf life 97 days. Allergens: none.
N201109,Supplier sheet: Meadow trail mix 2 L pack of 12. Store at ambient. Shelf life 55 days. Allergens: nuts;milk.
N200973,Supplier sheet: Bluebell trail mix 330 ml pack of 2. Store at ambient. Shelf life 159 days. Allergens: nuts;milk.
N201475,Supplier sheet: Northfield mixed berries 250 ml pack of 6. Store at -18C. Shelf life 8 days. Allergens: gluten;fish.
N202112,Supplier sheet: Northfield greek yogurt 1 kg pack of 6. Store at chilled. Shelf life 23 days. Allergens: milk.
N201872,Supplier sheet: Northfield double cream 6 pk pack of 1. Store at chilled. Shelf life 34 days. Allergens: milk.
N201302,Supplier sheet: Orchard bin liners 250 ml pack of 1. Store at ambient. Shelf life 118 days. Allergens: none.
N200935,Supplier sheet: Orchard body lotion 2 L pack of 4. Store at ambient. Shelf life 21 days. Allergens: none.
N202360,Supplier sheet: Orchard greek yogurt 500 g pack of 1. Store at chilled. Shelf life 144 days. Allergens: milk.
N201193,Supplier sheet: Orchard wholemeal bread 330 ml pack of 4. Store at ambient. Shelf life 37 days. Allergens: gluten;egg.
N201101,Supplier sheet: Valley trail mix 330 ml pack of 2. Store at ambient. Shelf life 122 days. Allergens: nuts;milk.
N200013,Supplier sheet: Bluebell tortilla chips 250 ml pack of 12. Store at ambient. Shelf life 143 days. Allergens: nuts;milk.
N200791,Supplier sheet: Meadow razor blades 6 pk pack of 2. Store at ambient. Shelf life 158 days. Allergens: none. Rep contact rep20@example-supplier.test
N202158,Supplier sheet: Orchard paper towel 2 L pack of 6. Store at ambient. Shelf life 54 days. Allergens: none.
N201646,Supplier sheet: Harvest glass cleaner 1 L pack of 6. Store at ambient. Shelf life 16 days. Allergens: none.
N200313,Supplier sheet: Valley wholemeal bread 1 kg pack of 6. Store at ambient. Shelf life 136 days. Allergens: gluten;egg.
N202965,Supplier sheet: Harvest tortilla chips 330 ml pack of 4. Store at ambient. Shelf life 82 days. Allergens: nuts;milk.
N201579,Supplier sheet: Harvest garden peas 1 kg pack of 1. Store at -18C. Shelf life 170 days. Allergens: gluten;fish.
N200947,Supplier sheet: Harvest margherita pizza 500 g pack of 1. Store at -18C. Shelf life 36 days. Allergens: gluten;fish.
N200895,Supplier sheet: Northfield body lotion 500 g pack of 2. Store at ambient. Shelf life 104 days. Allergens: none.
N200487,Supplier sheet: Valley shampoo daily 6 pk pack of 2. Store at ambient. Shelf life 24 days. Allergens: none.
N200497,Supplier sheet: Bluebell blueberry muffin 1 kg pack of 6. Store at ambient. Shelf life 88 days. Allergens: gluten;egg.
N200495,Supplier sheet: Bluebell hand soap 1 L pack of 4. Store at ambient. Shelf life 3 days. Allergens: none.
N201605N,Supplier sheet: MEADOW TORTILLA CHIPS 330 ML PACK OF 12  . Store at ambient. Shelf life 135 days. Allergens: nuts;milk.
N202216,Supplier sheet: Orchard whole milk 330 ml pack of 1. Store at chilled. Shelf life 110 days. Allergens: milk.
N200934,Supplier sheet: Harvest dish soap 6 pk pack of 12. Store at ambient. Shelf life 20 days. Allergens: none.
N202373,Supplier sheet: Northfield trail mix 2 L pack of 4. Store at ambient. Shelf life 91 days. Allergens: nuts;milk.
N200204,Supplier sheet: Harvest oat drink 250 ml pack of 1. Store at ambient. Shelf life 78 days. Allergens: none.
N201284,Supplier sheet: Northfield sparkling water 500 g pack of 2. Store at ambient. Shelf life 122 days. Allergens: none.
N200357,Supplier sheet: Meadow rice cakes 500 g pack of 6. Store at ambient. Shelf life 91 days. Allergens: nuts;milk.
N200285,Supplier sheet: Northfield trail mix 6 pk pack of 2. Store at ambient. Shelf life 84 days. Allergens: nuts;milk.
N200853,Supplier sheet: Harvest trail mix 500 g pack of 12. Store at ambient. Shelf life 150 days. Allergens: nuts;milk.
N202956,Supplier sheet: Valley cold brew 500 g pack of 4. Store at ambient. Shelf life 94 days. Allergens: none.
N202405,Supplier sheet: Meadow salted crisps 1 L pack of 1. Store at ambient. Shelf life 147 days. Allergens: nuts;milk.
N202257,Supplier sheet: Harvest wholemeal bread 1 L pack of 6. Store at ambient. Shelf life 159 days. Allergens: gluten;egg.
N201842,Supplier sheet: Orchard baby spinach 500 g pack of 6. Store at chilled. Shelf life 153 days. Allergens: none.
N200832,Supplier sheet: Orchard cheddar cheese 1 kg pack of 6. Store at chilled. Shelf life 172 days. Allergens: milk.
N201542,Supplier sheet: Harvest paper towel 1 L pack of 6. Store at ambient. Shelf life 126 days. Allergens: none.
N200656,Supplier sheet: Northfield salted butter 330 ml pack of 1. Store at chilled. Shelf life 102 days. Allergens: milk.
N200824,Supplier sheet: Valley cheddar cheese 1 L pack of 2. Store at chilled. Shelf life 96 days. Allergens: milk.
N202109,Supplier sheet: Valley rice cakes 6 pk pack of 2. Store at ambient. Shelf life 39 days. Allergens: nuts;milk.
N202920,Supplier sheet: Valley double cream 1 L pack of 6. Store at chilled. Shelf life 149 days. Allergens: milk.
N201520,Supplier sheet: Valley whole milk 750 g pack of 6. Store at chilled. Shelf life 125 days. Allergens: milk.
N200554,Supplier sheet: Harvest gala apple 750 g pack of 2. Store at chilled. Shelf life 157 days. Allergens: none.
N202778,Supplier sheet: Northfield banana bunch 1 L pack of 6. Store at chilled. Shelf life 127 days. Allergens: none.
N200665,Supplier sheet: Harvest sourdough loaf 330 ml pack of 4. Store at ambient. Shelf life 88 days. Allergens: gluten;egg.
N200889,Supplier sheet: Harvest wholemeal bread 2 L pack of 4. Store at ambient. Shelf life 55 days. Allergens: gluten;egg.
N202420,Supplier sheet: Harvest cold brew 1 kg pack of 12. Store at ambient. Shelf life 177 days. Allergens: none.
N201728,Supplier sheet: Harvest greek yogurt 250 ml pack of 4. Store at chilled. Shelf life 132 days. Allergens: milk.
N202792,Supplier sheet: Northfield salted butter 1 L pack of 4. Store at chilled. Shelf life 157 days. Allergens: milk.
N202494,Supplier sheet: Meadow paper towel 500 g pack of 2. Store at ambient. Shelf life 106 days. Allergens: none.
N200875,Supplier sheet: Harvest garden peas 6 pk pack of 2. Store at -18C. Shelf life 93 days. Allergens: gluten;fish.
N200260,Supplier sheet: Harvest oat drink 1 L pack of 12. Store at ambient. Shelf life 9 days. Allergens: none.
N201186,Supplier sheet: Valley baby spinach 1 L pack of 4. Store at chilled. Shelf life 15 days. Allergens: none.
N200069,Supplier sheet: Bluebell trail mix 1 kg pack of 2. Store at ambient. Shelf life 128 days. Allergens: nuts;milk.
N202231,Supplier sheet: Meadow razor blades 500 g pack of 6. Store at ambient. Shelf life 42 days. Allergens: none.
N202483,Supplier sheet: Orchard margherita pizza 1 L pack of 1. Store at -18C. Shelf life 17 days. Allergens: gluten;fish.
N200843,Supplier sheet: Northfield garden peas 750 g pack of 1. Store at -18C. Shelf life 140 days. Allergens: gluten;fish.
N200970,Supplier sheet: Meadow avocado ripe 750 g pack of 1. Store at chilled. Shelf life 112 days. Allergens: none.
N201679,Supplier sheet: Orchard hand soap 1 kg pack of 1. Store at ambient. Shelf life 22 days. Allergens: none.
N201967,Supplier sheet: Meadow body lotion 6 pk pack of 12. Store at ambient. Shelf life 91 days. Allergens: none.
N202553,Supplier sheet: Meadow seeded bagel 1 kg pack of 12. Store at ambient. Shelf life 86 days. Allergens: gluten;egg.
N200640,Supplier sheet: Valley greek yogurt 750 g pack of 1. Store at chilled. Shelf life 3 days. Allergens: milk.
N201850,Supplier sheet: Northfield gala apple 6 pk pack of 6. Store at chilled. Shelf life 110 days. Allergens: none.
N201152,Supplier sheet: Bluebell salted butter 1 kg pack of 4. Store at chilled. Shelf life 73 days. Allergens: milk.
N201148,Supplier sheet: Meadow orange juice 1 L pack of 6. Store at ambient. Shelf life 158 days. Allergens: none.
N201329,Supplier sheet: Bluebell butter croissant 1 kg pack of 6. Store at ambient. Shelf life 23 days. Allergens: gluten;egg.
N201546,Supplier sheet: Northfield cherry tomato 2 L pack of 2. Store at chilled. Shelf life 152 days. Allergens: none.
N200742,Supplier sheet: Valley laundry pods 6 pk pack of 12. Store at ambient. Shelf life 4 days. Allergens: none.
N202387,Supplier sheet: Orchard vanilla icecream 750 g pack of 1. Store at ambient. Shelf life 138 days. Allergens: gluten;fish.
N201491,Supplier sheet: Harvest garden peas 500 g pack of 4. Store at -18C. Shelf life 141 days. Allergens: gluten;fish.
N202797,Supplier sheet: Meadow rice cakes 1 kg pack of 12. Store at ambient. Shelf life 75 days. Allergens: nuts;milk.
N200861,Supplier sheet: Bluebell trail mix 1 L pack of 12. Store at ambient. Shelf life 52 days. Allergens: nuts;milk.
N200725,Supplier sheet: Valley dark chocolate 500 g pack of 12. Store at ambient. Shelf life 28 days. Allergens: nuts;milk.
N200362,Supplier sheet: Bluebell avocado ripe 1 L pack of 4. Store at chilled. Shelf life 63 days. Allergens: none.
N200573,Supplier sheet: Meadow rice cakes 250 ml pack of 2. Store at ambient. Shelf life 121 days. Allergens: nuts;milk.
N200434,Supplier sheet: Harvest gala apple 250 ml pack of 2. Store at chilled. Shelf life 131 days. Allergens: none.
N201842N,Supplier sheet: ORCHARD BABY SPINACH 500 G PACK OF 6  . Store at chilled. Shelf life 35 days. Allergens: none.
N200370,Supplier sheet: Northfield banana bunch 330 ml pack of 1. Store at chilled. Shelf life 4 days. Allergens: none.
N202944,Supplier sheet: Valley double cream 250 ml pack of 6. Store at chilled. Shelf life 102 days. Allergens: milk.
N201020,Supplier sheet: Harvest oat drink 6 pk pack of 1. Store at ambient. Shelf life 105 days. Allergens: none.
N201779,Supplier sheet: Valley garden peas 1 L pack of 2. Store at -18C. Shelf life 176 days. Allergens: gluten;fish.
N201371,Supplier sheet: Meadow margherita pizza 750 g pack of 4. Store at -18C. Shelf life 137 days. Allergens: gluten;fish.
N200299,Supplier sheet: Harvest garden peas 750 g pack of 12. Store at -18C. Shelf life 100 days. Allergens: gluten;fish.
N202513,Supplier sheet: Orchard butter croissant 250 ml pack of 4. Store at ambient. Shelf life 107 days. Allergens: gluten;egg.
N202315,Supplier sheet: Bluebell garden peas 2 L pack of 2. Store at -18C. Shelf life 117 days. Allergens: gluten;fish.
N200361,Supplier sheet: Meadow sourdough loaf 330 ml pack of 12. Store at ambient. Shelf life 82 days. Allergens: gluten;egg.
N201115,Supplier sheet: Bluebell fish fingers 330 ml pack of 1. Store at -18C. Shelf life 122 days. Allergens: gluten;fish.
N201654,Supplier sheet: Meadow laundry pods 750 g pack of 12. Store at ambient. Shelf life 37 days. Allergens: none.
N201137,Supplier sheet: Orchard wholemeal bread 500 g pack of 4. Store at ambient. Shelf life 149 days. Allergens: gluten;egg.
N200227,Supplier sheet: Northfield vanilla icecream 1 L pack of 2. Store at -18C. Shelf life 155 days. Allergens: gluten;fish.
N202189,Supplier sheet: Meadow tortilla chips 2 L pack of 6. Store at ambient. Shelf life 79 days. Allergens: nuts;milk.
N201154,Supplier sheet: Northfield avocado ripe 6 pk pack of 4. Store at chilled. Shelf life 83 days. Allergens: none.
N202140,Supplier sheet: Harvest cola zero 250 ml pack of 12. Store at ambient. Shelf life 91 days. Allergens: none.
N200975,Supplier sheet: Orchard hand soap 500 g pack of 4. Store at ambient. Shelf life 147 days. Allergens: none.
N200297,Supplier sheet: Northfield seeded bagel 500 g pack of 2. Store at ambient. Shelf life 34 days. Allergens: gluten;egg.
N202431,Supplier sheet: Meadow hand soap 750 g pack of 2. Store at ambient. Shelf life 63 days. Allergens: none.
N200762,Supplier sheet: Orchard gala apple 2 L pack of 4. Store at chilled. Shelf life 111 days. Allergens: none.
N201343,Supplier sheet: Meadow razor blades 250 ml pack of 6. Store at ambient. Shelf life 125 days. Allergens: none. Call +1-555-0111-1011
N201633,Supplier sheet: Harvest butter croissant 750 g pack of 2. Store at ambient. Shelf life 55 days. Allergens: gluten;egg.
N201990,Supplier sheet: Meadow laundry pods 1 kg pack of 4. Store at ambient. Shelf life 23 days. Allergens: none.
N200785,Supplier sheet: Harvest blueberry muffin 250 ml pack of 12. Store at ambient. Shelf life 92 days. Allergens: gluten;egg.
N201984,Supplier sheet: Meadow greek yogurt 750 g pack of 6. Store at chilled. Shelf life 116 days. Allergens: milk.
N200658,Supplier sheet: Harvest baby spinach 750 g pack of 4. Store at chilled. Shelf life 138 days. Allergens: none.
N200070,Supplier sheet: Meadow glass cleaner 750 g pack of 6. Store at ambient. Shelf life 3 days. Allergens: none.
N201998,Supplier sheet: Harvest laundry pods 750 g pack of 6. Store at ambient. Shelf life 6 days. Allergens: none.
N201382,Supplier sheet: Valley dish soap 750 g pack of 1. Store at ambient. Shelf life 71 days. Allergens: none.
N202545,Supplier sheet: Bluebell seeded bagel 250 ml pack of 6. Store at ambient. Shelf life 102 days. Allergens: gluten;egg.
N201745,Supplier sheet: Northfield sourdough loaf 1 L pack of 12. Store at ambient. Shelf life 3 days. Allergens: gluten;egg.
N202683,Supplier sheet: Orchard margherita pizza 750 g pack of 2. Store at -18C. Shelf life 33 days. Allergens: gluten;fish.
N200035,Supplier sheet: Northfield vanilla icecream 250 ml pack of 6. Store at -18C. Shelf life 77 days. Allergens: gluten;fish.
N201659,Supplier sheet: Bluebell vanilla icecream 750 g pack of 2. Store at -18C. Shelf life 52 days. Allergens: gluten;fish.
N201525,Supplier sheet: Orchard dark chocolate 750 g pack of 2. Store at ambient. Shelf life 128 days. Allergens: nuts;milk.
N202726,Supplier sheet: Meadow glass cleaner 1 L pack of 4. Store at ambient. Shelf life 9 days. Allergens: none.
N201827,Supplier sheet: Orchard garden peas 750 g pack of 4. Store at -18C. Shelf life 160 days. Allergens: gluten;fish.
N202083,Supplier sheet: Valley fish fingers 1 L pack of 1. Store at -18C. Shelf life 32 days. Allergens: gluten;fish.
N201040,Supplier sheet: Orchard greek yogurt 2 L pack of 1. Store at chilled. Shelf life 80 days. Allergens: milk.
N201029,Supplier sheet: Northfield salted crisps 330 ml pack of 12. Store at ambient. Shelf life 177 days. Allergens: nuts;milk.
N202522,Supplier sheet: Orchard avocado ripe 330 ml pack of 1. Store at chilled. Shelf life 120 days. Allergens: none.
N201861,Supplier sheet: Bluebell dark chocolate 1 kg pack of 1. Store at ambient. Shelf life 179 days. Allergens: nuts;milk.
N200218,Supplier sheet: Harvest gala apple 500 g pack of 12. Store at chilled. Shelf life 6 days. Allergens: none.
N200686,Supplier sheet: Harvest bin liners 2 L pack of 6. Store at ambient. Shelf life 130 days. Allergens: none.
N202692,Supplier sheet: Valley cold brew 250 ml pack of 2. Store at ambient. Shelf life 16 days. Allergens: none.
N200750,Supplier sheet: Northfield laundry pods 2 L pack of 4. Store at ambient. Shelf life 111 days. Allergens: none.
N200716,Supplier sheet: Orchard cola zero 2 L pack of 12. Store at ambient. Shelf life 60 days. Allergens: none.
N202709,Supplier sheet: Valley tortilla chips 6 pk pack of 1. Store at ambient. Shelf life 140 days. Allergens: nuts;milk.
N200601,Supplier sheet: Meadow wholemeal bread 330 ml pack of 1. Store at ambient. Shelf life 25 days. Allergens: gluten;egg.
N200491,Supplier sheet: Orchard mixed berries 750 g pack of 12. Store at -18C. Shelf life 161 days. Allergens: gluten;fish. Call +1-555-0121-1021
N200233,Supplier sheet: Meadow sourdough loaf 6 pk pack of 4. Store at ambient. Shelf life 88 days. Allergens: gluten;egg.
N201739,Supplier sheet: Valley garden peas 1 kg pack of 12. Store at -18C. Shelf life 94 days. Allergens: gluten;fish.
N200708,Supplier sheet: Northfield sparkling water 6 pk pack of 12. Store at ambient. Shelf life 104 days. Allergens: none.
N200029,Supplier sheet: Bluebell trail mix 1 L pack of 6. Store at ambient. Shelf life 9 days. Allergens: nuts;milk.
N202393,Supplier sheet: Orchard wholemeal bread 2 L pack of 1. Store at ambient. Shelf life 57 days. Allergens: gluten;egg.
N201362,Supplier sheet: Northfield baby spinach 2 L pack of 2. Store at chilled. Shelf life 128 days. Allergens: none.
N201433,Supplier sheet: Harvest seeded bagel 330 ml pack of 6. Store at ambient. Shelf life 173 days. Allergens: gluten;egg.
N201749,Supplier sheet: Valley salted crisps 2 L pack of 1. Store at ambient. Shelf life 177 days. Allergens: nuts;milk.
N200535,Supplier sheet: Meadow hand soap 6 pk pack of 12. Store at ambient. Shelf life 97 days. Allergens: none.
N200878,Supplier sheet: Orchard bin liners 500 g pack of 12. Store at ambient. Shelf life 48 days. Allergens: none.
N202364,Supplier sheet: Meadow sparkling water 2 L pack of 2. Store at ambient. Shelf life 87 days. Allergens: none.
N200417,Supplier sheet: Valley wholemeal bread 750 g pack of 1. Store at ambient. Shelf life 85 days. Allergens: gluten;egg.
N201223,Supplier sheet: Northfield razor blades 1 L pack of 1. Store at ambient. Shelf life 73 days. Allergens: none.
